wl,n
0.017586,0.9522
0.017712,0.9523
0.017839,0.9518
0.017969,0.9519
0.018100,0.9514
0.018233,0.9515
0.018368,0.9510
0.018505,0.9510
0.018644,0.9506
0.018785,0.9507
0.018929,0.9502
0.019074,0.9498
0.019222,0.9499
0.019373,0.9494
0.019525,0.9495
0.019680,0.9490
0.019837,0.9491
0.019997,0.9487
0.020160,0.9488
0.020325,0.9484
0.020493,0.9479
0.020664,0.9480
0.020838,0.9476
0.021014,0.9477
0.021194,0.9473
0.021377,0.9469
0.021562,0.9470
0.021752,0.9466
0.021944,0.9467
0.022140,0.9463
0.022339,0.9459
0.022543,0.9460
0.022749,0.9457
0.022960,0.9453
0.023175,0.9454
0.023393,0.9450
0.023616,0.9452
0.023843,0.9448
0.024075,0.9445
0.024311,0.9441
0.024551,0.9442
0.024797,0.9439
0.025047,0.9436
0.025303,0.9438
0.025564,0.9434
0.025830,0.9431
0.026102,0.9428
0.026380,0.9430
0.026663,0.9427
0.026953,0.9424
0.027249,0.9421
0.027552,0.9418
0.027862,0.9421
0.028178,0.9418
0.028502,0.9416
0.028834,0.9413
0.029173,0.9411
0.029520,0.9409
0.029876,0.9406
0.030240,0.9404
0.030613,0.9402
0.030996,0.9400
0.031388,0.9399
0.031791,0.9398
0.032204,0.9396
0.032627,0.9395
0.033062,0.9393
0.033509,0.9388
0.033968,0.9386
0.034440,0.9386
0.034925,0.9385
0.035424,0.9380
0.035937,0.9379
0.036466,0.9374
0.037010,0.9375
0.037571,0.9370
0.038149,0.9365
0.038745,0.9367
0.039360,0.9362
0.039995,0.9358
0.040651,0.9354
0.041328,0.9352
0.042029,0.9349
0.042753,0.9340
0.043503,0.9338
0.044280,0.9331
0.045085,0.9328
0.045920,0.9322
0.046786,0.9315
0.047686,0.9305
0.048621,0.9294
0.049594,0.9288
0.050606,0.9274
0.051660,0.9263
0.052759,0.9244
0.053906,0.9230
0.055104,0.9212
0.056356,0.9189
0.057667,0.9161
0.059040,0.9128
0.060480,0.9097
0.061992,0.9055
0.063582,0.9010
0.065255,0.8960
0.067018,0.8901
0.068880,0.8834
0.070848,0.8751
0.072932,0.8662
0.075142,0.8560
0.077490,0.8440
0.079990,0.8304
0.082656,0.8150
0.085506,0.7981
0.088560,0.7791
0.091840,0.7589
0.095372,0.7388
0.099187,0.7209
0.103320,0.7093
0.107812,0.7080
0.112713,0.7192
0.118080,0.7342
0.123984,0.7318
0.130510,0.6955
0.137760,0.6304
0.145864,0.5561
0.154980,0.4922
0.165312,0.4516
0.177120,0.4444
0.190745,0.4937
0.206640,0.6184
0.225426,0.6196
0.247968,0.4994
0.261019,0.4873
0.275520,0.5524
0.291728,0.7446
0.309960,0.6411
0.330625,0.5362
0.354241,0.5240
0.381490,0.5508
0.413281,0.6029
0.450852,0.6794
0.495937,0.7858
0.551041,0.9322
0.619921,1.1356
0.708481,1.4247
0.826561,1.8489
0.991874,2.4976
1.239842,3.5417
1.653123,5.3318
2.479684,8.6709

wl,k
0.017586,0.0688
0.017712,0.0693
0.017839,0.0704
0.017969,0.0709
0.018100,0.0720
0.018233,0.0725
0.018368,0.0736
0.018505,0.0741
0.018644,0.0752
0.018785,0.0763
0.018929,0.0768
0.019074,0.0779
0.019222,0.0790
0.019373,0.0800
0.019525,0.0811
0.019680,0.0817
0.019837,0.0827
0.019997,0.0838
0.020160,0.0848
0.020325,0.0859
0.020493,0.0870
0.020664,0.0881
0.020838,0.0892
0.021014,0.0902
0.021194,0.0913
0.021377,0.0924
0.021562,0.0940
0.021752,0.0951
0.021944,0.0961
0.022140,0.0972
0.022339,0.0988
0.022543,0.0999
0.022749,0.1015
0.022960,0.1026
0.023175,0.1037
0.023393,0.1053
0.023616,0.1069
0.023843,0.1080
0.024075,0.1096
0.024311,0.1112
0.024551,0.1123
0.024797,0.1139
0.025047,0.1155
0.025303,0.1171
0.025564,0.1187
0.025830,0.1203
0.026102,0.1220
0.026380,0.1235
0.026663,0.1252
0.026953,0.1268
0.027249,0.1290
0.027552,0.1306
0.027862,0.1322
0.028178,0.1343
0.028502,0.1365
0.028834,0.1381
0.029173,0.1403
0.029520,0.1424
0.029876,0.1441
0.030240,0.1462
0.030613,0.1484
0.030996,0.1505
0.031388,0.1532
0.031791,0.1554
0.032204,0.1575
0.032627,0.1602
0.033062,0.1623
0.033509,0.1651
0.033968,0.1673
0.034440,0.1699
0.034925,0.1726
0.035424,0.1754
0.035937,0.1781
0.036466,0.1808
0.037010,0.1840
0.037571,0.1868
0.038149,0.1901
0.038745,0.1932
0.039360,0.1960
0.039995,0.1993
0.040651,0.2026
0.041328,0.2064
0.042029,0.2097
0.042753,0.2131
0.043503,0.2169
0.044280,0.2208
0.045085,0.2240
0.045920,0.2280
0.046786,0.2319
0.047686,0.2364
0.048621,0.2405
0.049594,0.2444
0.050606,0.2491
0.051660,0.2531
0.052759,0.2580
0.053906,0.2627
0.055104,0.2676
0.056356,0.2726
0.057667,0.2778
0.059040,0.2832
0.060480,0.2891
0.061992,0.2949
0.063582,0.3013
0.065255,0.3080
0.067018,0.3151
0.068880,0.3232
0.070848,0.3314
0.072932,0.3411
0.075142,0.3517
0.077490,0.3637
0.079990,0.3775
0.082656,0.3939
0.085506,0.4135
0.088560,0.4370
0.091840,0.4658
0.095372,0.5008
0.099187,0.5438
0.103320,0.5942
0.107812,0.6483
0.112713,0.6966
0.118080,0.7273
0.123984,0.7400
0.130510,0.7541
0.137760,0.7971
0.145864,0.8811
0.154980,1.0066
0.165312,1.1670
0.177120,1.3570
0.190745,1.5648
0.206640,1.7124
0.225426,1.7464
0.247968,1.9795
0.261019,2.1720
0.275520,2.3940
0.291728,2.4832
0.309960,2.4613
0.330625,2.7034
0.354241,2.9907
0.381490,3.2986
0.413281,3.6376
0.450852,4.0209
0.495937,4.4636
0.551041,4.9850
0.619921,5.6116
0.708481,6.3811
0.826561,7.3486
0.991874,8.5981
1.239842,10.2617
1.653123,12.5605
2.479684,15.9470
